epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1780.86,0.08922,0.65074,0.17824,0.11839,0.86288,0.99997,1,0.995,0.995,0.9975,0.99754,0.99273,0.91561,0.13093,0.47784,0.15698,0.27078,0.41785,0.007327,0.007327,0.007327
29,1841.63,0.0871,0.63474,0.17429,0.11561,0.86157,0.99935,1,0.99489,0.9948,0.99627,0.99692,0.99247,0.91437,0.09501,0.42337,0.16345,0.16455,0.37336,0.007228,0.007228,0.007228
30,1903.56,0.08704,0.63511,0.17537,0.11658,0.86023,0.99996,1,0.995,0.995,0.9975,0.99754,0.99328,0.92726,0.12998,0.42907,0.1528,0.22417,0.41616,0.007129,0.007129,0.007129
31,1965.84,0.08243,0.63584,0.17397,0.11403,0.86032,0.99992,1,0.995,0.995,0.99684,0.99692,0.99198,0.92444,0.113,0.40113,0.14711,0.24747,0.40102,0.00703,0.00703,0.00703
32,2027.67,0.08449,0.61656,0.16952,0.11383,0.859,0.99992,1,0.995,0.995,0.99746,0.99754,0.99258,0.92942,0.1034,0.39373,0.15166,0.24721,0.39406,0.006931,0.006931,0.006931
33,2089.64,0.08056,0.59462,0.16916,0.11017,0.85797,0.99996,1,0.995,0.995,0.9975,0.99754,0.99256,0.93418,0.13366,0.35891,0.16254,0.22863,0.42651,0.006832,0.006832,0.006832
34,2151.59,0.08165,0.58645,0.16704,0.11085,0.86185,0.99997,1,0.995,0.995,0.99689,0.99692,0.99195,0.93813,0.0941,0.38457,0.15015,0.18968,0.37039,0.006733,0.006733,0.006733
35,2213.01,0.07755,0.5673,0.1634,0.10641,0.86048,0.99992,1,0.995,0.99487,0.99253,0.99261,0.98809,0.89367,0.11883,0.47879,0.16696,0.24185,0.39235,0.006634,0.006634,0.006634
36,2275.03,0.07877,0.59796,0.1661,0.10761,0.86022,0.99983,1,0.995,0.995,0.99613,0.9963,0.99213,0.94147,0.11973,0.33731,0.13963,0.24134,0.39125,0.006535,0.006535,0.006535
37,2337.31,0.07721,0.56042,0.16169,0.10746,0.86216,0.99936,1,0.995,0.99496,0.99689,0.99754,0.99422,0.9504,0.11068,0.34161,0.14312,0.25768,0.40029,0.006436,0.006436,0.006436
38,2399.7,0.07782,0.54463,0.16007,0.1045,0.85965,0.99988,1,0.995,0.995,0.99742,0.99754,0.99444,0.96056,0.11896,0.2908,0.14334,0.26752,0.40624,0.006337,0.006337,0.006337
39,2462.79,0.07441,0.52311,0.15858,0.10207,0.85854,0.99996,1,0.995,0.995,0.9975,0.99754,0.99256,0.94802,0.11555,0.32855,0.1412,0.20096,0.37733,0.006238,0.006238,0.006238
40,2526.09,0.07223,0.53061,0.1568,0.0996,0.85939,0.99994,1,0.995,0.995,0.99686,0.99692,0.99275,0.94916,0.12896,0.36015,0.14011,0.25031,0.41926,0.006139,0.006139,0.006139
41,2588.85,0.07162,0.52877,0.15572,0.10046,0.86121,0.99997,1,0.995,0.995,0.9975,0.99754,0.99281,0.96671,0.10867,0.28118,0.14102,0.23883,0.39597,0.00604,0.00604,0.00604
42,2652.18,0.07111,0.50511,0.15297,0.09772,0.85835,0.99996,1,0.995,0.995,0.9975,0.99754,0.99258,0.95788,0.11267,0.27312,0.13528,0.26344,0.39342,0.005941,0.005941,0.005941
43,2714.46,0.07075,0.49418,0.15001,0.0977,0.86065,0.99995,1,0.995,0.995,0.99749,0.99754,0.99273,0.96181,0.1,0.33112,0.13599,0.24462,0.38692,0.005842,0.005842,0.005842
44,2777.77,0.0692,0.48528,0.14874,0.09552,0.85925,0.99997,1,0.995,0.995,0.9975,0.99754,0.99308,0.96684,0.07143,0.26888,0.13264,0.20101,0.35311,0.005743,0.005743,0.005743
45,2842.09,0.0678,0.50521,0.14783,0.09479,0.85722,0.99997,1,0.995,0.995,0.9975,0.99754,0.99256,0.96768,0.10034,0.2661,0.13715,0.26089,0.39278,0.005644,0.005644,0.005644
46,2905.28,0.06804,0.49291,0.14534,0.09595,0.85742,0.99996,1,0.995,0.995,0.9975,0.99754,0.99268,0.97138,0.09013,0.26954,0.14086,0.16033,0.3761,0.005545,0.005545,0.005545
47,2968.04,0.06534,0.47171,0.14282,0.09385,0.85763,0.99996,1,0.995,0.995,0.9975,0.99754,0.99256,0.96804,0.06883,0.27062,0.13245,0.17459,0.35148,0.005446,0.005446,0.005446
48,3030.19,0.06682,0.50275,0.14503,0.09452,0.85679,0.99997,1,0.995,0.995,0.9975,0.99754,0.99261,0.97493,0.08075,0.22324,0.13441,0.19897,0.37242,0.005347,0.005347,0.005347
49,3092.26,0.06649,0.47519,0.14248,0.09575,0.86084,0.99997,1,0.995,0.995,0.9975,0.99754,0.99255,0.97407,0.0533,0.23363,0.13291,0.14788,0.34633,0.005248,0.005248,0.005248
50,3154.64,0.06375,0.45245,0.1405,0.09198,0.85827,0.99997,1,0.995,0.995,0.9975,0.99754,0.99323,0.97916,0.06393,0.22348,0.12515,0.15967,0.34457,0.005149,0.005149,0.005149
51,3216.47,0.06317,0.43589,0.14099,0.09156,0.85644,0.99997,1,0.995,0.995,0.9975,0.99754,0.99425,0.9825,0.06042,0.20674,0.13019,0.15919,0.34453,0.00505,0.00505,0.00505
52,3278.26,0.06267,0.42968,0.13657,0.09062,0.85683,0.99994,1,0.995,0.99489,0.99748,0.99754,0.99258,0.97583,0.06482,0.21703,0.12573,0.16728,0.34443,0.004951,0.004951,0.004951
53,3339.88,0.06151,0.44811,0.13846,0.09025,0.85834,0.99995,1,0.995,0.995,0.99749,0.99754,0.99283,0.98236,0.0795,0.20186,0.12971,0.21528,0.36784,0.004852,0.004852,0.004852
54,3401.7,0.06208,0.42803,0.13678,0.08958,0.85896,0.99995,1,0.995,0.995,0.99749,0.99754,0.99343,0.98041,0.09153,0.20143,0.12471,0.21929,0.38211,0.004753,0.004753,0.004753
55,3462.78,0.06077,0.42219,0.13612,0.08909,0.85357,0.99997,1,0.995,0.995,0.9975,0.99754,0.99258,0.98315,0.06338,0.20917,0.125,0.17533,0.35111,0.004654,0.004654,0.004654
